@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute class {0, 1}
@data
ar,ANY,ai,1,0,1,0,1
ar,ANY,ai,2,0,1,0,1
ar,ANY,ai,3,0,1,0,1
ar,ANY,ai,1,1,1,0,1
ar,ANY,ai,2,1,1,0,1
ar,ANY,ai,3,1,1,0,1
ar,ANY,au,1,0,1,0,1
ar,ANY,au,2,0,1,0,1
ar,ANY,au,3,0,1,0,1
ar,ANY,au,1,1,1,0,1
ar,ANY,au,2,1,1,0,1
ar,ANY,au,3,1,1,0,1
ar,ANY,ei,1,0,1,0,1
ar,ANY,ei,2,0,1,0,1
ar,ANY,ei,3,0,1,0,1
ar,ANY,ei,1,1,1,0,1
ar,ANY,ei,2,1,1,0,1
ar,ANY,ei,3,1,1,0,1
ar,ANY,eu,1,0,1,0,1
ar,ANY,eu,2,0,1,0,1
ar,ANY,eu,3,0,1,0,1
ar,ANY,eu,1,1,1,0,1
ar,ANY,eu,2,1,1,0,1
ar,ANY,eu,3,1,1,0,1
ar,gu,ANY,1,0,3,0,1
ar,gu,ANY,2,0,3,0,1
ar,gu,ANY,3,0,3,0,1
ar,gu,ANY,1,1,3,0,1
ar,gu,ANY,2,1,3,0,1
ar,gu,ANY,3,1,3,0,1
ar,c,ANY,1,0,3,0,1
ar,c,ANY,2,0,3,0,1
ar,c,ANY,3,0,3,0,1
ar,c,ANY,1,1,3,0,1
ar,c,ANY,2,1,3,0,1
ar,c,ANY,3,1,3,0,1
ar,z,ANY,1,0,3,0,1
ar,z,ANY,2,0,3,0,1
ar,z,ANY,3,0,3,0,1
ar,z,ANY,1,1,3,0,1
ar,z,ANY,2,1,3,0,1
ar,z,ANY,3,1,3,0,1
ar,ANY,ai,1,0,3,0,1
ar,ANY,ai,2,0,3,0,1
ar,ANY,ai,3,0,3,0,1
ar,ANY,ai,1,1,3,0,1
ar,ANY,ai,2,1,3,0,1
ar,ANY,ai,3,1,3,0,1
ar,ANY,au,1,0,3,0,1
ar,ANY,au,2,0,3,0,1
ar,ANY,au,3,0,3,0,1
ar,ANY,au,1,1,3,0,1
ar,ANY,au,2,1,3,0,1
ar,ANY,au,3,1,3,0,1
ar,ANY,ei,1,0,3,0,1
ar,ANY,ei,2,0,3,0,1
ar,ANY,ei,3,0,3,0,1
ar,ANY,ei,1,1,3,0,1
ar,ANY,ei,2,1,3,0,1
ar,ANY,ei,3,1,3,0,1
ar,ANY,eu,1,0,3,0,1
ar,ANY,eu,2,0,3,0,1
ar,ANY,eu,3,0,3,0,1
ar,ANY,eu,1,1,3,0,1
ar,ANY,eu,2,1,3,0,1
ar,ANY,eu,3,1,3,0,1
ar,gu,ANY,1,0,2,0,1
ar,gu,ANY,2,0,2,0,1
ar,gu,ANY,3,0,2,0,1
ar,gu,ANY,1,1,2,0,1
ar,gu,ANY,2,1,2,0,1
ar,gu,ANY,3,1,2,0,1
ar,c,ANY,1,0,2,0,1
ar,c,ANY,2,0,2,0,1
ar,c,ANY,3,0,2,0,1
ar,c,ANY,1,1,2,0,1
ar,c,ANY,2,1,2,0,1
ar,c,ANY,3,1,2,0,1
ar,z,ANY,1,0,2,0,1
ar,z,ANY,2,0,2,0,1
ar,z,ANY,3,0,2,0,1
ar,z,ANY,1,1,2,0,1
ar,z,ANY,2,1,2,0,1
ar,z,ANY,3,1,2,0,1
ar,ANY,ai,1,0,2,0,1
ar,ANY,ai,2,0,2,0,1
ar,ANY,ai,3,0,2,0,1
ar,ANY,ai,1,1,2,0,1
ar,ANY,ai,2,1,2,0,1
ar,ANY,ai,3,1,2,0,1
ar,ANY,au,1,0,2,0,1
ar,ANY,au,2,0,2,0,1
ar,ANY,au,3,0,2,0,1
ar,ANY,au,1,1,2,0,1
ar,ANY,au,2,1,2,0,1
ar,ANY,au,3,1,2,0,1
ar,ANY,ei,1,0,2,0,1
ar,ANY,ei,2,0,2,0,1
ar,ANY,ei,3,0,2,0,1
ar,ANY,ei,1,1,2,0,1
ar,ANY,ei,2,1,2,0,1
ar,ANY,ei,3,1,2,0,1
ar,ANY,eu,1,0,2,0,1
ar,ANY,eu,2,0,2,0,1
ar,ANY,eu,3,0,2,0,1
ar,ANY,eu,1,1,2,0,1
ar,ANY,eu,2,1,2,0,1
ar,ANY,eu,3,1,2,0,1
ar,gu,ANY,1,0,4,0,1
ar,gu,ANY,2,0,4,0,1
ar,gu,ANY,3,0,4,0,1
ar,gu,ANY,1,1,4,0,1
ar,gu,ANY,2,1,4,0,1
ar,gu,ANY,3,1,4,0,1
ar,c,ANY,1,0,4,0,1
ar,c,ANY,2,0,4,0,1
ar,c,ANY,3,0,4,0,1
ar,c,ANY,1,1,4,0,1
ar,c,ANY,2,1,4,0,1
ar,c,ANY,3,1,4,0,1
ar,z,ANY,1,0,4,0,1
ar,z,ANY,2,0,4,0,1
ar,z,ANY,3,0,4,0,1
ar,z,ANY,1,1,4,0,1
ar,z,ANY,2,1,4,0,1
ar,z,ANY,3,1,4,0,1
ar,ANY,ai,1,0,4,0,1
ar,ANY,ai,2,0,4,0,1
ar,ANY,ai,3,0,4,0,1
ar,ANY,ai,1,1,4,0,1
ar,ANY,ai,2,1,4,0,1
ar,ANY,ai,3,1,4,0,1
ar,ANY,au,1,0,4,0,1
ar,ANY,au,2,0,4,0,1
ar,ANY,au,3,0,4,0,1
ar,ANY,au,1,1,4,0,1
ar,ANY,au,2,1,4,0,1
ar,ANY,au,3,1,4,0,1
ar,ANY,ei,1,0,4,0,1
ar,ANY,ei,2,0,4,0,1
ar,ANY,ei,3,0,4,0,1
ar,ANY,ei,1,1,4,0,1
ar,ANY,ei,2,1,4,0,1
ar,ANY,ei,3,1,4,0,1
ar,ANY,eu,1,0,4,0,1
ar,ANY,eu,2,0,4,0,1
ar,ANY,eu,3,0,4,0,1
ar,ANY,eu,1,1,4,0,1
ar,ANY,eu,2,1,4,0,1
ar,ANY,eu,3,1,4,0,1
ar,gu,ANY,2,0,0,2,1
ar,gu,ANY,2,1,0,2,1
ar,c,ANY,2,0,0,2,1
ar,c,ANY,2,1,0,2,1
ar,z,ANY,2,0,0,2,1
ar,z,ANY,2,1,0,2,1
ar,ANY,ai,2,0,0,2,1
ar,ANY,ai,2,1,0,2,1
ar,ANY,au,2,0,0,2,1
ar,ANY,au,2,1,0,2,1
ar,ANY,ei,2,0,0,2,1
ar,ANY,ei,2,1,0,2,1
ar,ANY,eu,2,0,0,2,1
ar,ANY,eu,2,1,0,2,1
ar,gu,ANY,0,0,0,3,1
ar,c,ANY,0,0,0,3,1
ar,z,ANY,0,0,0,3,1
ar,ANY,ai,0,0,0,3,1
ar,ANY,au,0,0,0,3,1
ar,ANY,ei,0,0,0,3,1
ar,ANY,eu,0,0,0,3,1
ar,gu,ANY,0,0,1,3,1
ar,c,ANY,0,0,1,3,1
ar,z,ANY,0,0,1,3,1
ar,ANY,ai,0,0,1,3,1
ar,ANY,au,0,0,1,3,1
ar,ANY,ei,0,0,1,3,1
ar,ANY,eu,0,0,1,3,1
ar,gu,ANY,0,0,2,3,1
ar,c,ANY,0,0,2,3,1
ar,z,ANY,0,0,2,3,1
ar,ANY,ai,0,0,2,3,1
ar,ANY,au,0,0,2,3,1
ar,ANY,ei,0,0,2,3,1
ar,ANY,eu,0,0,2,3,1
ar,c,ANY,1,0,0,1,1
ar,c,ANY,2,0,0,1,1
ar,c,ANY,3,0,0,1,1
ar,c,ANY,1,1,0,1,1
ar,c,ANY,2,1,0,1,1
ar,c,ANY,3,1,0,1,1
ar,gu,ANY,1,0,0,1,1
ar,gu,ANY,2,0,0,1,1
ar,gu,ANY,3,0,0,1,1
ar,gu,ANY,1,1,0,1,1
ar,gu,ANY,2,1,0,1,1
ar,gu,ANY,3,1,0,1,1
ar,z,ANY,1,0,0,1,1
ar,z,ANY,2,0,0,1,1
ar,z,ANY,3,0,0,1,1
ar,z,ANY,1,1,0,1,1
ar,z,ANY,2,1,0,1,1
ar,z,ANY,3,1,0,1,1
ar,ANY,ai,1,0,0,1,1
ar,ANY,ai,2,0,0,1,1
ar,ANY,ai,3,0,0,1,1
ar,ANY,ai,1,1,0,1,1
ar,ANY,ai,2,1,0,1,1
ar,ANY,ai,3,1,0,1,1
ar,ANY,au,1,0,0,1,1
ar,ANY,au,2,0,0,1,1
ar,ANY,au,3,0,0,1,1
ar,ANY,au,1,1,0,1,1
ar,ANY,au,2,1,0,1,1
ar,ANY,au,3,1,0,1,1
ar,ANY,ei,1,0,0,1,1
ar,ANY,ei,2,0,0,1,1
ar,ANY,ei,3,0,0,1,1
ar,ANY,ei,1,1,0,1,1
ar,ANY,ei,2,1,0,1,1
ar,ANY,ei,3,1,0,1,1
ar,ANY,eu,1,0,0,1,1
ar,ANY,eu,2,0,0,1,1
ar,ANY,eu,3,0,0,1,1
ar,ANY,eu,1,1,0,1,1
ar,ANY,eu,2,1,0,1,1
ar,ANY,eu,3,1,0,1,1
ar,gu,ANY,1,0,1,1,1
ar,gu,ANY,2,0,1,1,1
ar,gu,ANY,3,0,1,1,1
ar,gu,ANY,1,1,1,1,1
ar,gu,ANY,2,1,1,1,1
ar,gu,ANY,3,1,1,1,1
ar,c,ANY,1,0,1,1,1
ar,c,ANY,2,0,1,1,1
ar,c,ANY,3,0,1,1,1
ar,c,ANY,1,1,1,1,1
ar,c,ANY,2,1,1,1,1
ar,c,ANY,3,1,1,1,1
ar,z,ANY,1,0,1,1,1
ar,z,ANY,2,0,1,1,1
ar,z,ANY,3,0,1,1,1
ar,z,ANY,1,1,1,1,1
ar,z,ANY,2,1,1,1,1
ar,z,ANY,3,1,1,1,1
ar,ANY,ai,1,0,1,1,1
ar,ANY,ai,2,0,1,1,1
ar,ANY,ai,3,0,1,1,1
ar,ANY,ai,1,1,1,1,1
ar,ANY,ai,2,1,1,1,1
ar,ANY,ai,3,1,1,1,1
ar,ANY,au,1,0,1,1,1
ar,ANY,au,2,0,1,1,1
ar,ANY,au,3,0,1,1,1
ar,ANY,au,1,1,1,1,1
ar,ANY,au,2,1,1,1,1
ar,ANY,au,3,1,1,1,1
ar,ANY,ei,1,0,1,1,1
ar,ANY,ei,2,0,1,1,1
ar,ANY,ei,3,0,1,1,1
ar,ANY,ei,1,1,1,1,1
ar,ANY,ei,2,1,1,1,1
ar,ANY,ei,3,1,1,1,1
ar,ANY,eu,1,0,1,1,1
ar,ANY,eu,2,0,1,1,1
ar,ANY,eu,3,0,1,1,1
ar,ANY,eu,1,1,1,1,1
ar,ANY,eu,2,1,1,1,1
ar,ANY,eu,3,1,1,1,1
ar,gu,ANY,1,0,2,1,1
ar,gu,ANY,2,0,2,1,1
ar,gu,ANY,3,0,2,1,1
ar,gu,ANY,1,1,2,1,1
ar,gu,ANY,2,1,2,1,1
ar,gu,ANY,3,1,2,1,1
ar,c,ANY,1,0,2,1,1
ar,c,ANY,2,0,2,1,1
ar,c,ANY,3,0,2,1,1
ar,c,ANY,1,1,2,1,1
ar,c,ANY,2,1,2,1,1
ar,c,ANY,3,1,2,1,1
ar,z,ANY,1,0,2,1,1
ar,z,ANY,2,0,2,1,1
ar,z,ANY,3,0,2,1,1
ar,z,ANY,1,1,2,1,1
ar,z,ANY,2,1,2,1,1
ar,z,ANY,3,1,2,1,1
ar,ANY,ai,1,0,2,1,1
ar,ANY,ai,2,0,2,1,1
ar,ANY,ai,3,0,2,1,1
ar,ANY,ai,1,1,2,1,1
ar,ANY,ai,2,1,2,1,1
ar,ANY,ai,3,1,2,1,1
ar,ANY,au,1,0,2,1,1
ar,ANY,au,2,0,2,1,1
ar,ANY,au,3,0,2,1,1
ar,ANY,au,1,1,2,1,1
ar,ANY,au,2,1,2,1,1
ar,ANY,au,3,1,2,1,1
ar,ANY,ei,1,0,2,1,1
ar,ANY,ei,2,0,2,1,1
ar,ANY,ei,3,0,2,1,1
ar,ANY,ei,1,1,2,1,1
ar,ANY,ei,2,1,2,1,1
ar,ANY,ei,3,1,2,1,1
ar,ANY,eu,1,0,2,1,1
ar,ANY,eu,2,0,2,1,1
ar,ANY,eu,3,0,2,1,1
ar,ANY,eu,1,1,2,1,1
ar,ANY,eu,2,1,2,1,1
ar,ANY,eu,3,1,2,1,1
er,g,ANY,1,0,0,0,1
er,g,ANY,2,0,0,0,1
er,g,ANY,3,0,0,0,1
er,g,ANY,1,1,0,0,1
er,g,ANY,2,1,0,0,1
er,g,ANY,3,1,0,0,1
er,c,ANY,1,0,0,0,1
er,c,ANY,2,0,0,0,1
er,c,ANY,3,0,0,0,1
er,c,ANY,1,1,0,0,1
er,c,ANY,2,1,0,0,1
er,c,ANY,3,1,0,0,1
er,g,ANY,1,0,1,0,1
er,g,ANY,2,0,1,0,1
er,g,ANY,3,0,1,0,1
er,g,ANY,1,1,1,0,1
er,g,ANY,2,1,1,0,1
er,g,ANY,3,1,1,0,1
er,c,ANY,1,0,1,0,1
er,c,ANY,2,0,1,0,1
er,c,ANY,3,0,1,0,1
er,c,ANY,1,1,1,0,1
er,c,ANY,2,1,1,0,1
er,c,ANY,3,1,1,0,1
er,g,ANY,1,0,3,0,1
er,g,ANY,2,0,3,0,1
er,g,ANY,3,0,3,0,1
er,g,ANY,1,1,3,0,1
er,g,ANY,2,1,3,0,1
er,g,ANY,3,1,3,0,1
er,c,ANY,1,0,3,0,1
er,c,ANY,2,0,3,0,1
er,c,ANY,3,0,3,0,1
er,c,ANY,1,1,3,0,1
er,c,ANY,2,1,3,0,1
er,c,ANY,3,1,3,0,1
er,g,ANY,1,0,2,0,1
er,g,ANY,2,0,2,0,1
er,g,ANY,3,0,2,0,1
er,g,ANY,1,1,2,0,1
er,g,ANY,2,1,2,0,1
er,g,ANY,3,1,2,0,1
er,c,ANY,1,0,2,0,1
er,c,ANY,2,0,2,0,1
er,c,ANY,3,0,2,0,1
er,c,ANY,1,1,2,0,1
er,c,ANY,2,1,2,0,1
er,c,ANY,3,1,2,0,1
er,g,ANY,1,0,4,0,1
er,g,ANY,2,0,4,0,1
er,g,ANY,3,0,4,0,1
er,g,ANY,1,1,4,0,1
er,g,ANY,2,1,4,0,1
er,g,ANY,3,1,4,0,1
er,c,ANY,1,0,4,0,1
er,c,ANY,2,0,4,0,1
er,c,ANY,3,0,4,0,1
er,c,ANY,1,1,4,0,1
er,c,ANY,2,1,4,0,1
er,c,ANY,3,1,4,0,1
er,g,ANY,0,0,0,3,1
er,c,ANY,0,0,0,3,1
er,g,ANY,0,0,1,3,1
er,c,ANY,0,0,1,3,1
er,g,ANY,0,0,2,3,1
er,c,ANY,0,0,2,3,1
er,g,ANY,1,0,0,1,1
er,g,ANY,2,0,0,1,1
er,g,ANY,3,0,0,1,1
er,g,ANY,1,1,0,1,1
er,g,ANY,2,1,0,1,1
er,g,ANY,3,1,0,1,1
er,c,ANY,1,0,0,1,1
er,c,ANY,2,0,0,1,1
er,c,ANY,3,0,0,1,1
er,c,ANY,1,1,0,1,1
er,c,ANY,2,1,0,1,1
er,c,ANY,3,1,0,1,1
er,g,ANY,1,0,1,1,1
er,g,ANY,2,0,1,1,1
er,g,ANY,3,0,1,1,1
er,g,ANY,1,1,1,1,1
er,g,ANY,2,1,1,1,1
er,g,ANY,3,1,1,1,1
er,c,ANY,1,0,1,1,1
er,c,ANY,2,0,1,1,1
er,c,ANY,3,0,1,1,1
er,c,ANY,1,1,1,1,1
er,c,ANY,2,1,1,1,1
er,c,ANY,3,1,1,1,1
er,g,ANY,1,0,2,1,1
er,g,ANY,2,0,2,1,1
er,g,ANY,3,0,2,1,1
er,g,ANY,1,1,2,1,1
er,g,ANY,2,1,2,1,1
er,g,ANY,3,1,2,1,1
er,c,ANY,1,0,2,1,1
er,c,ANY,2,0,2,1,1
er,c,ANY,3,0,2,1,1
er,c,ANY,1,1,2,1,1
er,c,ANY,2,1,2,1,1
er,c,ANY,3,1,2,1,1
ir,qu,ANY,1,0,0,0,1
ir,qu,ANY,2,0,0,0,1
ir,qu,ANY,3,0,0,0,1
ir,qu,ANY,1,1,0,0,1
ir,qu,ANY,2,1,0,0,1
ir,qu,ANY,3,1,0,0,1
ir,g,ANY,1,0,0,0,1
ir,g,ANY,2,0,0,0,1
ir,g,ANY,3,0,0,0,1
ir,g,ANY,1,1,0,0,1
ir,g,ANY,2,1,0,0,1
ir,g,ANY,3,1,0,0,1
ir,c,ANY,1,0,0,0,1
ir,c,ANY,2,0,0,0,1
ir,c,ANY,3,0,0,0,1
ir,c,ANY,1,1,0,0,1
ir,c,ANY,2,1,0,0,1
ir,c,ANY,3,1,0,0,1
ir,ANY,u,1,0,0,0,1
ir,ANY,u,2,0,0,0,1
ir,ANY,u,3,0,0,0,1
ir,ANY,u,1,1,0,0,1
ir,ANY,u,2,1,0,0,1
ir,ANY,u,3,1,0,0,1
ir,qu,ANY,1,0,1,0,1
ir,qu,ANY,2,0,1,0,1
ir,qu,ANY,3,0,1,0,1
ir,qu,ANY,1,1,1,0,1
ir,qu,ANY,2,1,1,0,1
ir,qu,ANY,3,1,1,0,1
ir,g,ANY,1,0,1,0,1
ir,g,ANY,2,0,1,0,1
ir,g,ANY,3,0,1,0,1
ir,g,ANY,1,1,1,0,1
ir,g,ANY,2,1,1,0,1
ir,g,ANY,3,1,1,0,1
ir,c,ANY,1,0,1,0,1
ir,c,ANY,2,0,1,0,1
ir,c,ANY,3,0,1,0,1
ir,c,ANY,1,1,1,0,1
ir,c,ANY,2,1,1,0,1
ir,c,ANY,3,1,1,0,1
ir,ANY,u,1,0,1,0,1
ir,ANY,u,2,0,1,0,1
ir,ANY,u,3,0,1,0,1
ir,ANY,u,1,1,1,0,1
ir,ANY,u,2,1,1,0,1
ir,ANY,u,3,1,1,0,1
ir,qu,ANY,1,0,3,0,1
ir,qu,ANY,2,0,3,0,1
ir,qu,ANY,3,0,3,0,1
ir,qu,ANY,1,1,3,0,1
ir,qu,ANY,2,1,3,0,1
ir,qu,ANY,3,1,3,0,1
ir,g,ANY,1,0,3,0,1
ir,g,ANY,2,0,3,0,1
ir,g,ANY,3,0,3,0,1
ir,g,ANY,1,1,3,0,1
ir,g,ANY,2,1,3,0,1
ir,g,ANY,3,1,3,0,1
ir,c,ANY,1,0,3,0,1
ir,c,ANY,2,0,3,0,1
ir,c,ANY,3,0,3,0,1
ir,c,ANY,1,1,3,0,1
ir,c,ANY,2,1,3,0,1
ir,c,ANY,3,1,3,0,1
ir,ANY,u,1,0,3,0,1
ir,ANY,u,2,0,3,0,1
ir,ANY,u,3,0,3,0,1
ir,ANY,u,1,1,3,0,1
ir,ANY,u,2,1,3,0,1
ir,ANY,u,3,1,3,0,1
ir,qu,ANY,1,0,2,0,1
ir,qu,ANY,2,0,2,0,1
ir,qu,ANY,3,0,2,0,1
ir,qu,ANY,1,1,2,0,1
ir,qu,ANY,2,1,2,0,1
ir,qu,ANY,3,1,2,0,1
ir,g,ANY,1,0,2,0,1
ir,g,ANY,2,0,2,0,1
ir,g,ANY,3,0,2,0,1
ir,g,ANY,1,1,2,0,1
ir,g,ANY,2,1,2,0,1
ir,g,ANY,3,1,2,0,1
ir,c,ANY,1,0,2,0,1
ir,c,ANY,2,0,2,0,1
ir,c,ANY,3,0,2,0,1
ir,c,ANY,1,1,2,0,1
ir,c,ANY,2,1,2,0,1
ir,c,ANY,3,1,2,0,1
ir,ANY,u,1,0,2,0,1
ir,ANY,u,2,0,2,0,1
ir,ANY,u,3,0,2,0,1
ir,ANY,u,1,1,2,0,1
ir,ANY,u,2,1,2,0,1
ir,ANY,u,3,1,2,0,1
ir,qu,ANY,1,0,4,0,1
ir,qu,ANY,2,0,4,0,1
ir,qu,ANY,3,0,4,0,1
ir,qu,ANY,1,1,4,0,1
ir,qu,ANY,2,1,4,0,1
ir,qu,ANY,3,1,4,0,1
ir,g,ANY,1,0,4,0,1
ir,g,ANY,2,0,4,0,1
ir,g,ANY,3,0,4,0,1
ir,g,ANY,1,1,4,0,1
ir,g,ANY,2,1,4,0,1
ir,g,ANY,3,1,4,0,1
ir,c,ANY,1,0,4,0,1
ir,c,ANY,2,0,4,0,1
ir,c,ANY,3,0,4,0,1
ir,c,ANY,1,1,4,0,1
ir,c,ANY,2,1,4,0,1
ir,c,ANY,3,1,4,0,1
ir,ANY,u,1,0,4,0,1
ir,ANY,u,2,0,4,0,1
ir,ANY,u,3,0,4,0,1
ir,ANY,u,1,1,4,0,1
ir,ANY,u,2,1,4,0,1
ir,ANY,u,3,1,4,0,1
ir,qu,ANY,2,0,0,2,1
ir,qu,ANY,2,1,0,2,1
ir,g,ANY,2,0,0,2,1
ir,g,ANY,2,1,0,2,1
ir,c,ANY,2,0,0,2,1
ir,c,ANY,2,1,0,2,1
ir,ANY,u,2,0,0,2,1
ir,ANY,u,2,1,0,2,1
ir,qu,ANY,0,0,0,3,1
ir,g,ANY,0,0,0,3,1
ir,c,ANY,0,0,0,3,1
ir,ANY,u,0,0,0,3,1
ir,qu,ANY,0,0,1,3,1
ir,g,ANY,0,0,1,3,1
ir,c,ANY,0,0,1,3,1
ir,ANY,u,0,0,1,3,1
ir,qu,ANY,0,0,2,3,1
ir,g,ANY,0,0,2,3,1
ir,c,ANY,0,0,2,3,1
ir,ANY,u,0,0,2,3,1
ir,qu,ANY,1,0,0,1,1
ir,qu,ANY,2,0,0,1,1
ir,qu,ANY,3,0,0,1,1
ir,qu,ANY,1,1,0,1,1
ir,qu,ANY,2,1,0,1,1
ir,qu,ANY,3,1,0,1,1
ir,g,ANY,1,0,0,1,1
ir,g,ANY,2,0,0,1,1
ir,g,ANY,3,0,0,1,1
ir,g,ANY,1,1,0,1,1
ir,g,ANY,2,1,0,1,1
ir,g,ANY,3,1,0,1,1
ir,c,ANY,1,0,0,1,1
ir,c,ANY,2,0,0,1,1
ir,c,ANY,3,0,0,1,1
ir,c,ANY,1,1,0,1,1
ir,c,ANY,2,1,0,1,1
ir,c,ANY,3,1,0,1,1
ir,qu,ANY,1,0,1,1,1
ir,qu,ANY,2,0,1,1,1
ir,qu,ANY,3,0,1,1,1
ir,qu,ANY,1,1,1,1,1
ir,qu,ANY,2,1,1,1,1
ir,qu,ANY,3,1,1,1,1
ir,g,ANY,1,0,1,1,1
ir,g,ANY,2,0,1,1,1
ir,g,ANY,3,0,1,1,1
ir,g,ANY,1,1,1,1,1
ir,g,ANY,2,1,1,1,1
ir,g,ANY,3,1,1,1,1
ir,c,ANY,1,0,1,1,1
ir,c,ANY,2,0,1,1,1
ir,c,ANY,3,0,1,1,1
ir,c,ANY,1,1,1,1,1
ir,c,ANY,2,1,1,1,1
ir,c,ANY,3,1,1,1,1
ir,ANY,u,1,0,1,1,1
ir,ANY,u,2,0,1,1,1
ir,ANY,u,3,0,1,1,1
ir,ANY,u,1,1,1,1,1
ir,ANY,u,2,1,1,1,1
ir,ANY,u,3,1,1,1,1
ir,qu,ANY,1,0,2,1,1
ir,qu,ANY,2,0,2,1,1
ir,qu,ANY,3,0,2,1,1
ir,qu,ANY,1,1,2,1,1
ir,qu,ANY,2,1,2,1,1
ir,qu,ANY,3,1,2,1,1
ir,g,ANY,1,0,2,1,1
ir,g,ANY,2,0,2,1,1
ir,g,ANY,3,0,2,1,1
ir,g,ANY,1,1,2,1,1
ir,g,ANY,2,1,2,1,1
ir,g,ANY,3,1,2,1,1
ir,c,ANY,1,0,2,1,1
ir,c,ANY,2,0,2,1,1
ir,c,ANY,3,0,2,1,1
ir,c,ANY,1,1,2,1,1
ir,c,ANY,2,1,2,1,1
ir,c,ANY,3,1,2,1,1
ir,ANY,u,1,0,2,1,1
ir,ANY,u,2,0,2,1,1
ir,ANY,u,3,0,2,1,1
ir,ANY,u,1,1,2,1,1
ir,ANY,u,2,1,2,1,1
ir,ANY,u,3,1,2,1,1
ar,ANY,e,1,0,0,0,1
ar,ANY,e,2,0,0,0,1
ar,ANY,e,3,0,0,0,1
ar,ANY,e,1,1,0,0,1
ar,ANY,e,2,1,0,0,1
ar,ANY,e,3,1,0,0,1
ar,z,e,1,0,0,0,1
ar,z,e,2,0,0,0,1
ar,z,e,3,0,0,0,1
ar,z,e,1,1,0,0,1
ar,z,e,2,1,0,0,1
ar,z,e,3,1,0,0,1
ar,g,e,1,0,0,0,1
ar,g,e,2,0,0,0,1
ar,g,e,3,0,0,0,1
ar,g,e,1,1,0,0,1
ar,g,e,2,1,0,0,1
ar,g,e,3,1,0,0,1
ar,ANY,o,1,0,0,0,1
ar,ANY,o,2,0,0,0,1
ar,ANY,o,3,0,0,0,1
ar,ANY,o,1,1,0,0,1
ar,ANY,o,2,1,0,0,1
ar,ANY,o,3,1,0,0,1
ar,ANY,go,1,0,0,0,1
ar,ANY,go,2,0,0,0,1
ar,ANY,go,3,0,0,0,1
ar,ANY,go,1,1,0,0,1
ar,ANY,go,2,1,0,0,1
ar,ANY,go,3,1,0,0,1
ar,z,go,1,0,0,0,1
ar,z,go,2,0,0,0,1
ar,z,go,3,0,0,0,1
ar,z,go,1,1,0,0,1
ar,z,go,2,1,0,0,1
ar,z,go,3,1,0,0,1
ar,g,o,1,0,0,0,1
